Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242631621&doi=10.1016%2f0010-0285%2875%2990024-9&partnerID=40&md5=51eaccbeda8baa492374eea5e3a363ea",,2-s2.0-0242631621
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744588611&doi=10.1016%2fj.neunet.2005.06.042&partnerID=40&md5=66573e1ce0d068f161cd82d50b51db42",,2-s2.0-27744588611
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943274699&partnerID=40&md5=06e150f30aa1116b73df1e8f6c299bc1",,2-s2.0-84943274699
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9644260534&doi=10.1023%2fB%3aVISI.0000027790.02288.f2&partnerID=40&md5=cf741de7cef0d93ba96dc7cf3b026b9f","Affine invariance; Interest points; Local features; Matching; Recognition; Scale invariance",2-s2.0-9644260534
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938447945&doi=10.1145%2f321062.321069&partnerID=40&md5=240ea82c62ca7310c8195d15b3058d53",,2-s2.0-84938447945
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50649108974&doi=10.1109%2fISMAR.2007.4538852&partnerID=40&md5=0da4b3a9e010bce4c02e04eb4c2f7315",,2-s2.0-50649108974
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750729556&partnerID=40&md5=02909c0cc31bdebc709cfdc551e272db","Graph transduction; Kernel methods; Manifold learning; Regularization; Semi-supervised learning; Spectral graph theory; Support vector machines; Unlabeled data",2-s2.0-33750729556
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025448521&doi=10.1023%2fA%3a1022648800760&partnerID=40&md5=5e391b1924e374bbced77a1e954dfb55","learnability theory; learning from examples; Machine learning; PAC learning; polynomial-time identification",2-s2.0-0025448521
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027205884&doi=10.1016%2fS0893-6080%2805%2980056-5&partnerID=40&md5=088aa89fafb9c78d1cc97c0353366137","Conjugate gradient algorithms; Feedforward neural network; Optimization; Supervised learning",2-s2.0-0027205884
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025206332&doi=10.1016%2f0893-6080%2890%2990049-Q&partnerID=40&md5=cced10e788dc4c807c7c823990f94220","""Neuron""; Associative memory; Bayes strategy; Neural network; Parallel processor; Parzen window; Pattern recognition; Probability density function",2-s2.0-0025206332
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028714294&partnerID=40&md5=7b0df0010da3f438d61f316a4fac8f21",,2-s2.0-0028714294
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749148075&doi=10.1016%2fS0364-0213%2883%2980009-3&partnerID=40&md5=12adaffbce0f88d4571c26afd2d64d9b",,2-s2.0-48749148075
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847202724&doi=10.1023%2fA%3a1022633531479&partnerID=40&md5=3b32f7a5ce199d2ab04875323205c3b7","connectionism; credit assignment; evaluation functions; Incremental learning; prediction",2-s2.0-33847202724
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034313871&doi=10.1023%2fA%3a1026543900054&partnerID=40&md5=4e986da1ab56e90e245028ac28a6f503",,2-s2.0-0034313871
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249832377&doi=10.1023%2fA%3a1022649401552&partnerID=40&md5=29c4e2a6ea6bc513aada6a88b5dc0560","Bayesian belief networks; induction; machine learning; probabilistic networks",2-s2.0-34249832377
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024866495&doi=10.1016%2f0893-6080%2889%2990003-8&partnerID=40&md5=571f0944475983487a6e7aef826f0d51","Back propagation; Continuous mapping; Hidden layer; Neural network; Output function; Realization; Sigmoid function; Unit",2-s2.0-0024866495
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007210890&partnerID=40&md5=3278a533aeda2fd6bab0072555aef7cd",,2-s2.0-85007210890
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055199652&doi=10.1109%2fISMAR.2011.6092378&partnerID=40&md5=d18bda9f794d64bb6527babea967287d","AR; Dense Reconstruction; Depth Cameras; GPU; Real-Time; SLAM; Tracking; Volumetric Representation",2-s2.0-84055199652
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49449122735&doi=10.1016%2f0010-0285%2877%2990012-3&partnerID=40&md5=19600b5a803640b16cb67d2381d71cfe",,2-s2.0-49449122735
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845310686&doi=10.1016%2f0749-596X%2891%2990025-F&partnerID=40&md5=c73f8b8c62899023a85ec955b32fcdcd",,2-s2.0-33845310686
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002283033&partnerID=40&md5=266faf7bded790e22bc3754ab7e2caa1",,2-s2.0-0002283033
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954561574&doi=10.1002%2fint.20418&partnerID=40&md5=16c834f37a3dc357d28260618703d95e",,2-s2.0-77954561574
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749173057&doi=10.1007%2fs11263-007-0075-7&partnerID=40&md5=3c472440a78d4231ffca045609b04759","Adaptive methods; Illumination; Online algorithms; Particle filter; Subspace update; Visual tracking",2-s2.0-39749173057
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027658896&doi=10.1016%2f0031-3203%2893%2990135-J&partnerID=40&md5=56471eef5ab962b439ddd31556cc072b","Clustering; Edge detection; Fuzzy sets; Image segmentation; Markov Random Field; Relaxation; Thresholding",2-s2.0-0027658896
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955610631&doi=10.1016%2fj.knosys.2015.12.022&partnerID=40&md5=1a19cefba36a666ca647d57444fb9fae","Constrained optimization; Meta-heuristic; Optimization; Population-based algorithm; Stochastic optimization",2-s2.0-84955610631
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61749090884&partnerID=40&md5=ee1807133eef2ca55697144ca4961c9f","Convex optimization; Mahalanobis distance; Metric learning; Multi-class classification; Semi-definite programming; Support vector machines",2-s2.0-61749090884
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031141035&doi=10.1023%2fA%3a1007963824710&partnerID=40&md5=96af5a3fe603c96c10071c341f355c0f",,2-s2.0-0031141035
